,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
ОТП Банк,2.6,3.12,2.34,2.12,2.00,2.65,2.64,3.04,2.61,2.81,2.85,1.94,2.60
Петровский,2.59,3.33,3.15,3.25,1.98,2.84,2.61,3.34,2.46,2.31,2.88,2.74,2.91
Росбанк,2.61,3.25,2.14,2.48,1.90,2.91,2.20,2.72,2.71,2.67,2.74,3.24,2.94
Балтийский Банк,2.58,2.57,3.31,2.47,2.90,3.25,2.67,2.90,2.81,1.87,1.86,2.58,2.02
Газпромбанк,2.46,2.79,3.15,2.10,2.91,2.05,2.85,2.29,2.86,3.13,2.98,2.49,3.15
МДМ Банк,2.47,3.13,3.12,3.18,2.00,2.09,2.72,2.78,3.15,2.93,2.81,1.75,2.53
Ситибанк,2.58,2.62,3.19,3.31,3.24,2.39,3.08,2.48,2.18,2.99,2.05,1.86,3.12
Русфинанс Банк,2.4,2.85,3.08,1.81,1.94,2.78,2.79,3.10,2.76,2.85,3.07,2.64,2.54
Русский Стандарт,2.51,3.09,2.22,2.56,2.27,2.13,3.07,2.92,3.26,2.31,2.81,2.62,1.83
Альфа-Банк,2.54,3.00,1.81,2.71,2.63,2.50,2.99,3.00,2.66,2.41,3.26,2.79,3.30
ВТБ 24,2.49,2.95,2.63,2.77,2.54,2.62,2.49,2.22,3.06,2.29,2.41,2.07,2.97
Райффайзенбанк,2.47,2.78,2.46,2.20,2.93,2.08,3.07,3.21,2.73,3.06,3.19,2.55,3.07
Банк Уралсиб,2.39,1.78,1.89,2.73,2.60,1.86,3.08,2.46,2.55,2.56,1.85,2.03,3.05
Мастер-Банк,2.23,2.40,2.57,2.28,2.62,2.86,2.50,2.10,2.77,2.59,2.32,1.84,2.13
Кредит Европа Банк,2.34,2.35,2.55,2.57,2.01,2.91,2.07,2.09,2.43,2.15,1.86,1.93,1.64
Хоум Кредит Банк,2.27,2.93,2.00,2.73,2.06,1.76,1.92,2.65,2.45,2.75,1.89,2.04,1.81
Экспобанк,1.85,1.38,1.49,2.00,2.37,1.88,1.45,2.07,1.56,1.38,2.24,1.73,1.58
Сбербанк России,2.16,2.62,2.59,2.22,1.95,1.52,2.55,2.21,2.59,2.04,1.57,2.43,1.91
Современный Коммерческий Банк (бывш. ДжиИ Мани Банк),2.02,1.76,1.51,2.58,2.49,2.03,1.84,2.39,2.12,1.45,1.85,2.33,2.40
Банк Финсервис,1.82,2.02,2.01,2.12,1.37,1.98,2.34,1.36,1.71,2.34,2.14,2.14,2.18
БМ-Банк (бывш. Банк Москвы),1.99,1.47,2.22,2.57,2.32,2.52,1.64,1.44,1.92,2.47,1.95,1.85,2.36
Бинбанк кредитные карты,1.42,1.16,1.26,1.12,1.25,1.28,1.39,1.42,1.43,1.71,1.63,1.37,1.76
