,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
Банк РСБ 24 (Русславбанк),2.31,2.00,2.08,2.28,2.80,2.62,1.94,2.43,2.11,2.29,2.19,1.68,3.00
Ренессанс Кредит,1.87,2.13,2.02,1.42,1.44,1.67,2.30,1.47,2.19,1.66,1.36,1.67,1.64
Ханты-Мансийский банк Открытие,1.71,2.20,1.41,1.47,1.83,1.24,1.36,1.85,1.32,1.42,1.53,1.38,1.93
Югра,2.29,2.63,1.99,2.25,1.79,2.61,2.31,2.90,2.11,2.82,2.79,2.69,1.70
Хоум Кредит Банк,1.85,1.85,1.71,2.35,1.94,2.27,2.18,1.83,1.30,2.22,1.70,2.32,1.59
Ситибанк,1.78,1.84,1.68,1.68,2.11,2.20,2.04,2.21,2.09,1.41,2.05,1.93,1.48
Бинбанк Столица,1.72,1.73,2.05,1.69,1.82,1.62,2.06,2.16,2.05,2.04,1.29,2.20,1.34
Кредит Европа Банк,1.54,1.76,1.65,1.55,1.95,1.10,1.54,1.42,1.35,1.67,1.20,1.90,1.25
Промсвязьбанк,1.8,1.54,2.26,1.31,1.48,1.94,2.31,1.37,1.27,1.54,1.95,1.86,2.34
ЮниКредит Банк,1.76,1.68,2.17,1.80,2.11,1.80,1.57,1.53,2.08,1.52,1.83,1.75,1.50
Московский Кредитный Банк,1.97,1.62,2.52,2.01,1.79,2.06,1.87,2.44,2.13,1.84,2.13,1.83,2.19
Русский Стандарт,1.81,1.39,1.47,1.29,2.33,1.57,2.35,1.65,2.32,1.98,2.19,2.27,2.21
Райффайзенбанк,1.84,2.33,2.39,2.13,1.72,2.07,2.07,1.32,2.38,1.98,1.54,1.74,1.99
Росбанк,1.69,1.87,2.12,1.44,1.60,1.25,2.00,1.91,1.64,1.93,2.18,1.44,1.89
Юниаструм Банк,1.73,1.29,1.95,1.95,1.44,1.35,1.83,2.20,1.65,1.74,1.23,1.60,1.84
Газпромбанк,2.07,2.26,1.50,2.05,2.49,1.70,2.08,1.61,2.38,2.33,1.78,2.48,2.27
Сетелем Банк,1.63,1.69,1.58,1.90,1.56,1.24,2.02,1.33,1.34,1.16,1.74,2.04,1.40
Московский Областной Банк,1.81,1.58,1.33,2.11,1.63,1.68,2.17,1.99,2.27,1.32,2.16,1.60,1.32
Восточный Экспресс Банк,1.64,1.89,1.80,1.50,1.93,1.75,1.66,1.88,1.77,1.95,2.04,1.55,1.76
Абсолют Банк,1.79,2.04,1.52,2.17,1.83,1.54,1.38,1.94,1.39,1.54,1.69,1.95,1.98
ФК Открытие,1.73,1.27,1.50,1.85,1.81,1.44,1.22,2.10,1.94,1.77,1.57,2.08,1.97
ОТП Банк,1.56,1.44,1.12,1.95,1.34,1.70,1.38,1.99,1.87,1.90,1.38,1.22,1.67
Киви Банк,1.41,1.72,1.83,1.14,1.31,1.38,1.38,1.04,1.77,1.31,1.59,1.51,1.74
Бинбанк кредитные карты,1.46,1.27,1.89,1.25,1.08,1.04,1.40,1.28,1.03,1.21,1.46,1.72,1.80
Сбербанк России,1.53,1.51,1.33,1.93,1.57,1.42,1.65,1.48,1.32,1.23,1.42,1.91,1.34
Уральский Банк Реконструкции и Развития,1.69,1.50,1.58,1.38,1.47,1.93,1.47,1.97,1.99,1.92,1.88,1.82,1.52
Банк Уралсиб,1.77,2.14,1.93,1.73,1.64,1.31,1.56,1.65,1.51,1.25,2.24,2.27,1.34
Национальный Банк «Траст»,1.59,1.20,1.81,1.56,1.67,1.59,1.19,1.17,1.48,1.45,1.72,1.51,1.47
Россельхозбанк,1.76,1.76,1.86,1.75,1.92,1.54,1.93,1.77,1.89,1.45,1.77,1.76,1.28
Почта Банк,1.42,1.14,1.84,1.39,1.71,1.38,1.04,1.73,1.09,1.16,1.76,1.23,1.37
Росгосстрах Банк,1.39,0.98,1.03,1.49,1.08,1.43,1.05,1.21,1.07,1.59,1.38,1.11,1.19
МТС Банк,1.38,1.04,1.56,1.43,1.04,1.20,1.30,1.44,1.78,1.02,1.12,1.06,1.20
Русфинанс Банк,1.44,1.67,1.49,1.15,1.14,1.05,1.33,1.54,1.38,1.74,1.25,1.53,1.79
