,все услуги,Автокредиты,Вклады,Дебетовые карты,Депозиты для бизнеса,Дистанционное обслуживание,Ипотечные кредиты,Кредитные карты,Кредитование бизнеса,Лизинг,Обслуживание юрлиц,Потребительские кредиты,Реструктуризация кредитов
Современный Коммерческий Банк (бывш. ДжиИ Мани Банк),2.81,1.99,1.98,3.60,2.79,3.01,2.84,2.74,2.75,2.04,2.00,3.55,3.45
Нордеа Банк,2.68,2.44,3.36,3.42,2.53,2.56,2.40,3.32,2.86,2.03,2.04,2.25,2.18
Бинбанк кредитные карты,2.82,3.10,2.31,3.34,3.26,2.69,3.65,2.49,3.19,2.20,2.61,2.82,3.47
Юниаструм Банк,2.81,2.41,3.63,2.44,2.86,3.10,3.04,2.70,3.46,2.10,3.60,3.59,2.19
БМ-Банк (бывш. Банк Москвы),2.76,3.28,2.15,2.82,2.40,3.10,2.09,3.31,2.76,3.19,2.27,3.38,3.36
Росбанк,2.7,1.94,2.59,2.57,2.92,2.74,3.23,2.13,3.16,2.35,2.76,3.50,2.76
Сбербанк России,2.67,3.32,3.40,2.21,2.66,2.53,2.58,3.47,1.88,2.15,2.39,2.01,2.12
Первое О. В. К.,2.12,2.60,2.47,2.54,1.67,2.38,2.24,1.75,2.00,2.68,2.58,2.54,1.99
Бест Эффортс Банк,2.12,2.55,2.48,2.59,2.19,1.61,1.69,2.09,2.20,2.49,2.05,1.62,2.42
Московский Индустриальный Банк,2.01,1.85,1.73,1.73,1.57,1.91,1.48,1.93,1.94,2.06,1.89,2.38,2.42
Русский Стандарт,2.56,3.23,2.52,2.13,2.52,2.76,1.92,3.28,2.20,2.18,2.52,2.83,2.40
Мастер-Банк,2.27,1.64,2.17,1.88,2.88,1.89,2.72,2.42,2.73,2.03,2.02,2.17,2.02
Кредит Европа Банк,2.41,1.78,2.11,2.38,2.08,2.30,1.97,2.98,2.17,2.97,2.37,2.40,2.08
Ситибанк,2.4,2.92,2.42,1.98,2.80,2.82,2.46,2.59,1.90,2.01,2.92,2.05,2.31
